date,temperature_c,rainfall_mm
2000-07-21,29.59,0.1
2000-07-22,28.21,4.15
2000-07-23,27.95,4.81
2000-07-24,26.83,6.05
2000-07-25,27.4,1.67
2000-07-26,27.54,0.01
2000-07-27,27.37,5.42
2000-07-28,27.55,2.9
2000-07-29,26.68,55.69
2000-07-30,26.11,15.46
2000-07-31,25.27,2.51
2000-08-01,25.41,1.43
2000-08-02,26.34,0.54
2000-08-03,26.66,0.01
2000-08-04,26.43,0.86
2000-08-05,26.41,0.41
2000-08-06,26.47,0.04
2000-08-07,26.39,0.0
2000-08-08,26.3,4.37
2000-08-09,26.05,5.89
2000-08-10,25.84,1.81
2000-08-11,26.7,0.09
2000-08-12,27.68,0.0
2000-08-13,27.37,0.0
2000-08-14,25.73,6.51
2000-08-15,25.72,3.15
2000-08-16,26.95,0.0
2000-08-17,27.02,0.0
2000-08-18,26.44,0.0
2000-08-19,26.21,0.0
2000-08-20,27.37,0.0
2000-08-21,26.63,2.09
2000-08-22,26.79,8.55
2000-08-23,26.62,8.56
2000-08-24,25.87,10.09
2000-08-25,25.67,9.68
2000-08-26,26.44,1.32
2000-08-27,26.3,0.7
2000-08-28,26.21,0.17
2000-08-29,26.49,0.24
2000-08-30,26.87,0.0
2000-08-31,26.84,0.0
2000-09-01,27.13,0.0
2000-09-02,27.56,0.0
2000-09-03,27.89,0.0
2000-09-04,27.87,0.0
2000-09-05,27.71,0.54
2000-09-06,27.63,0.3
2000-09-07,27.73,0.0
2000-09-08,28.15,0.0
2000-09-09,27.25,0.0
2000-09-10,27.42,0.0
2000-09-11,27.32,0.02
2000-09-12,26.89,19.19
2000-09-13,26.85,13.38
2000-09-14,27.04,0.0
2000-09-15,27.01,3.0
2000-09-16,26.72,6.44
2000-09-17,27.01,1.71
2000-09-18,26.33,4.21
2000-09-19,25.97,4.51
2000-09-20,26.42,0.09
2000-09-21,25.82,6.29
2000-09-22,26.57,2.48
2000-09-23,26.25,0.31
2000-09-24,25.05,22.3
2000-09-25,26.31,4.8
2000-09-26,26.09,0.0
2000-09-27,26.37,0.51
2000-09-28,26.59,0.08
2000-09-29,26.0,0.0
2000-09-30,25.64,0.0
2000-10-01,25.73,0.0
2000-10-02,26.2,0.4
2000-10-03,26.12,0.11
2000-10-04,25.46,2.35
2000-10-05,24.88,5.38
2000-10-06,24.71,5.31
2000-10-07,26.18,4.99
2000-10-08,26.24,4.12
2000-10-09,26.44,0.4
2000-10-10,26.3,0.19
2000-10-11,26.7,0.37
2000-10-12,25.55,7.08
2000-10-13,26.41,4.49
2000-10-14,26.33,2.5
2000-10-15,26.62,5.33
2000-10-16,26.7,6.2
2000-10-17,27.03,0.47
2000-10-18,26.75,0.28
2000-10-19,26.42,0.29
2000-10-20,27.07,0.04
2000-10-21,26.53,0.49
2000-10-22,26.51,0.27
2000-10-23,26.37,3.96
2000-10-24,26.03,3.16
2000-10-25,26.23,0.41
2000-10-26,26.66,0.0
2000-10-27,26.43,0.0
2000-10-28,27.54,0.0
2000-10-29,27.72,0.0
2000-10-30,28.12,0.0
2000-10-31,27.42,0.23
2000-11-01,27.22,0.83
2000-11-02,26.13,6.79
2000-11-03,27.04,3.2
2000-11-04,27.18,6.4
2000-11-05,26.53,7.12
2000-11-06,25.89,5.5
2000-11-07,25.37,1.11
2000-11-08,26.27,3.73
2000-11-09,26.52,0.21
2000-11-10,26.74,0.44
2000-11-11,27.38,0.24
2000-11-12,26.61,0.16
2000-11-13,26.98,0.24
2000-11-14,26.65,0.84
2000-11-15,26.44,1.33
2000-11-16,26.79,1.0
2000-11-17,26.15,43.13
2000-11-18,24.72,57.39
2000-11-19,25.14,37.74
2000-11-20,25.29,13.22
2000-11-21,25.53,1.79
2000-11-22,25.51,42.44
2000-11-23,25.03,24.77
2000-11-24,24.8,35.27
2000-11-25,23.9,0.02
2000-11-26,23.57,0.03
2000-11-27,24.0,0.3
2000-11-28,24.13,0.01
2000-11-29,24.16,4.38
2000-11-30,24.62,3.8
2000-12-01,25.17,1.72
2000-12-02,25.12,0.79
2000-12-03,25.07,0.0
2000-12-04,25.12,2.63
2000-12-05,25.47,4.2
2000-12-06,24.8,0.02
2000-12-07,24.0,0.01
2000-12-08,23.97,1.13
2000-12-09,23.62,2.38
2000-12-10,23.12,0.02
2000-12-11,23.2,0.0
2000-12-12,23.25,0.0
2000-12-13,23.42,0.0
2000-12-14,23.46,0.0
2000-12-15,22.88,0.0
2000-12-16,23.35,0.26
2000-12-17,24.41,0.31
2000-12-18,23.83,3.42
2000-12-19,24.22,5.65
2000-12-20,23.55,0.47
2000-12-21,23.52,2.77
2000-12-22,24.08,3.06
2000-12-23,24.08,4.27
2000-12-24,24.89,0.07
2000-12-25,24.53,0.04
2000-12-26,24.35,60.89
2000-12-27,25.12,40.57
2000-12-28,25.32,2.57
2000-12-29,24.86,0.86
2000-12-30,25.06,0.32
2000-12-31,24.94,1.75
2001-01-01,24.15,0.34
2001-01-02,24.08,0.68
2001-01-03,24.42,10.13
2001-01-04,24.61,0.18
2001-01-05,24.01,0.32
2001-01-06,23.75,0.0
2001-01-07,23.57,0.0
2001-01-08,23.85,1.15
2001-01-09,23.49,2.31
2001-01-10,24.17,0.17
2001-01-11,24.69,0.09
2001-01-12,24.93,0.0
2001-01-13,23.94,0.02
2001-01-14,23.08,0.01
2001-01-15,22.53,0.0
2001-01-16,22.88,0.0
2001-01-17,23.07,3.75
2001-01-18,23.59,9.39
2001-01-19,24.62,0.83
2001-01-20,24.44,0.22
2001-01-21,23.82,8.71
2001-01-22,23.77,2.9
2001-01-23,24.38,10.44
2001-01-24,24.79,7.81
2001-01-25,24.81,4.84
2001-01-26,24.17,6.71
2001-01-27,23.43,0.08
2001-01-28,23.16,0.07
2001-01-29,23.53,12.21
2001-01-30,23.79,18.37
2001-01-31,24.92,3.12
2001-02-01,25.03,13.84
2001-02-02,24.35,12.86
2001-02-03,24.52,12.42
2001-02-04,24.98,1.64
2001-02-05,23.81,0.04
2001-02-06,22.23,0.0
2001-02-07,22.84,0.0
2001-02-08,23.43,0.0
2001-02-09,22.16,0.0
2001-02-10,22.05,0.0
2001-02-11,21.36,0.0
2001-02-12,21.51,0.0
2001-02-13,22.18,0.0
2001-02-14,22.94,0.0
2001-02-15,24.56,0.39
2001-02-16,25.02,7.33
2001-02-17,25.35,6.01
2001-02-18,25.68,1.46
2001-02-19,25.59,1.16
2001-02-20,25.59,0.04
2001-02-21,24.96,0.0
2001-02-22,24.77,0.0
2001-02-23,23.94,0.0
2001-02-24,24.2,0.0
2001-02-25,24.89,0.0
2001-02-26,25.49,0.0
2001-02-27,25.32,0.0
2001-02-28,24.45,0.0
2001-03-01,24.81,0.0
2001-03-02,25.78,0.0
2001-03-03,26.02,0.0
2001-03-04,26.57,0.09
2001-03-05,27.07,0.04
2001-03-06,26.53,0.0
2001-03-07,26.09,0.04
2001-03-08,26.64,0.0
2001-03-09,27.08,0.0
2001-03-10,26.91,0.0
2001-03-11,27.04,0.0
2001-03-12,27.16,0.0
2001-03-13,26.95,0.0
2001-03-14,27.27,0.0
2001-03-15,27.6,0.0
2001-03-16,27.5,0.0
2001-03-17,27.46,0.0
2001-03-18,27.96,0.01
2001-03-19,28.62,0.3
2001-03-20,28.87,0.08
2001-03-21,29.36,0.02
2001-03-22,29.8,0.0
2001-03-23,29.27,0.0
2001-03-24,29.68,0.0
2001-03-25,30.09,0.0
2001-03-26,29.8,0.0
2001-03-27,30.1,0.0
2001-03-28,30.31,0.0
2001-03-29,30.9,0.0
2001-03-30,31.49,0.0
2001-03-31,31.34,0.0
2001-04-01,30.76,0.0
2001-04-02,30.64,0.01
2001-04-03,30.74,1.33
2001-04-04,30.02,1.85
2001-04-05,29.26,1.02
2001-04-06,29.19,4.74
2001-04-07,27.13,22.4
2001-04-08,27.2,14.95
2001-04-09,27.17,2.2
2001-04-10,26.6,2.71
2001-04-11,26.88,16.42
2001-04-12,27.18,4.3
2001-04-13,28.26,2.34
2001-04-14,27.81,5.95
2001-04-15,27.36,9.68
2001-04-16,27.36,1.73
2001-04-17,28.21,4.59
2001-04-18,27.08,18.84
2001-04-19,26.37,7.79
2001-04-20,27.71,5.8
2001-04-21,28.51,4.27
2001-04-22,28.93,1.99
2001-04-23,28.35,0.18
2001-04-24,28.56,0.0
2001-04-25,29.38,0.01
2001-04-26,28.48,4.29
2001-04-27,28.06,5.92
2001-04-28,26.72,14.24
2001-04-29,26.56,12.49
2001-04-30,26.42,2.53
2001-05-01,27.37,0.0
2001-05-02,27.15,3.28
2001-05-03,27.38,1.31
2001-05-04,28.61,0.0
2001-05-05,28.44,0.0
2001-05-06,29.1,2.5
2001-05-07,28.11,4.22
2001-05-08,27.04,6.4
2001-05-09,27.25,3.91
2001-05-10,27.56,0.08
2001-05-11,28.51,0.0
2001-05-12,28.27,1.4
2001-05-13,27.92,0.77
2001-05-14,27.86,0.0
2001-05-15,28.14,0.02
2001-05-16,28.26,0.02
2001-05-17,27.91,0.15
2001-05-18,27.48,0.33
2001-05-19,27.68,0.18
2001-05-20,27.41,2.1
2001-05-21,27.28,1.24
2001-05-22,27.15,0.01
2001-05-23,27.77,0.3
2001-05-24,28.05,0.21
2001-05-25,28.09,0.0
2001-05-26,27.95,0.34
2001-05-27,27.54,0.49
2001-05-28,26.34,2.1
2001-05-29,26.47,1.22
2001-05-30,27.55,5.53
2001-05-31,28.06,0.29
2001-06-01,28.29,0.03
2001-06-02,26.74,68.68
2001-06-03,25.35,50.24
2001-06-04,25.52,16.28
2001-06-05,26.06,1.92
2001-06-06,26.32,0.4
2001-06-07,26.21,0.03
2001-06-08,26.25,1.05
2001-06-09,25.98,0.52
2001-06-10,26.33,0.78
2001-06-11,25.84,3.02
2001-06-12,25.74,1.44
2001-06-13,25.9,0.28
2001-06-14,25.96,0.17
2001-06-15,26.21,0.15
2001-06-16,26.22,0.0
2001-06-17,26.71,0.0
2001-06-18,26.59,0.09
2001-06-19,26.43,0.28
2001-06-20,26.84,0.04
2001-06-21,26.77,0.59
2001-06-22,27.09,0.65
2001-06-23,26.58,0.87
2001-06-24,26.54,0.2
2001-06-25,26.62,0.0
2001-06-26,26.82,0.33
2001-06-27,27.12,0.08
2001-06-28,26.18,0.43
2001-06-29,26.62,0.22
2001-06-30,26.89,0.0
2001-07-01,27.11,0.01
2001-07-02,27.12,0.75
2001-07-03,26.66,1.48
2001-07-04,26.47,1.5
2001-07-05,26.82,0.45
2001-07-06,26.5,3.64
2001-07-07,26.52,3.72
2001-07-08,25.52,6.66
2001-07-09,25.58,0.64
2001-07-10,25.53,1.69
2001-07-11,26.26,0.14
2001-07-12,26.65,0.02
2001-07-13,26.57,0.0
2001-07-14,26.13,0.0
2001-07-15,27.1,0.0
2001-07-16,26.79,0.0
2001-07-17,26.33,0.0
2001-07-18,27.65,0.0
2001-07-19,27.51,0.0
2001-07-20,27.47,0.0
2001-07-21,27.79,0.0
2001-07-22,27.6,0.01
2001-07-23,27.07,0.0
2001-07-24,27.26,0.0
2001-07-25,26.1,5.23
2001-07-26,25.22,56.22
2001-07-27,24.96,13.26
2001-07-28,25.28,1.45
2001-07-29,25.24,0.4
2001-07-30,25.55,0.09
2001-07-31,25.83,11.78
2001-08-01,25.48,3.97
2001-08-02,25.91,0.18
2001-08-03,26.0,0.72
2001-08-04,25.58,0.39
2001-08-05,26.42,0.0
2001-08-06,26.49,0.0
2001-08-07,26.82,0.01
2001-08-08,26.58,0.03
2001-08-09,26.99,0.0
2001-08-10,27.25,0.02
2001-08-11,27.15,0.03
2001-08-12,26.64,0.0
2001-08-13,27.45,0.04
2001-08-14,26.54,0.04
2001-08-15,27.07,0.02
2001-08-16,27.31,0.03
2001-08-17,26.69,0.04
2001-08-18,27.76,0.01
2001-08-19,26.71,0.04
2001-08-20,27.02,0.08
2001-08-21,26.77,0.17
2001-08-22,26.81,0.09
2001-08-23,27.96,0.04
2001-08-24,28.12,0.04
2001-08-25,27.79,1.75
2001-08-26,27.51,0.56
2001-08-27,27.3,0.0
2001-08-28,26.91,0.0
2001-08-29,27.37,0.31
2001-08-30,26.75,0.35
2001-08-31,27.7,0.0
2001-09-01,27.74,1.35
2001-09-02,27.23,0.54
2001-09-03,27.54,0.0
2001-09-04,27.38,0.0
2001-09-05,28.05,0.0
2001-09-06,28.54,0.0
2001-09-07,27.42,0.0
2001-09-08,27.46,0.08
2001-09-09,26.99,0.11
2001-09-10,28.08,0.0
2001-09-11,28.36,0.02
2001-09-12,28.69,0.06
2001-09-13,28.56,1.09
2001-09-14,28.62,3.01
2001-09-15,27.78,4.5
2001-09-16,27.07,5.16
2001-09-17,26.1,7.88
2001-09-18,26.73,3.0
2001-09-19,26.56,4.47
2001-09-20,26.42,4.65
2001-09-21,26.59,0.99
2001-09-22,26.72,0.85
2001-09-23,26.0,1.37
2001-09-24,25.84,5.31
2001-09-25,25.7,6.1
2001-09-26,26.36,1.68
2001-09-27,27.16,1.23
2001-09-28,27.1,5.14
2001-09-29,26.46,7.31
2001-09-30,26.54,2.66
2001-10-01,27.68,0.76
2001-10-02,27.59,7.78
2001-10-03,25.95,8.19
2001-10-04,26.11,12.49
2001-10-05,25.59,8.94
2001-10-06,27.24,0.41
2001-10-07,27.58,0.11
2001-10-08,27.48,1.5
2001-10-09,27.08,0.61
2001-10-10,27.3,0.13
2001-10-11,27.27,2.69
2001-10-12,27.16,2.72
2001-10-13,25.93,5.66
2001-10-14,25.37,7.64
2001-10-15,26.37,1.65
2001-10-16,27.17,0.45
2001-10-17,26.46,0.49
2001-10-18,26.09,0.58
2001-10-19,26.34,2.13
2001-10-20,26.28,7.61
2001-10-21,26.54,4.0
2001-10-22,26.05,2.14
2001-10-23,26.13,2.45
2001-10-24,25.9,0.46
2001-10-25,26.74,0.04
2001-10-26,26.91,6.3
2001-10-27,26.23,16.65
2001-10-28,26.32,2.43
2001-10-29,27.11,3.85
2001-10-30,26.47,2.28
2001-10-31,27.38,1.22
2001-11-01,27.69,0.01
2001-11-02,27.54,0.01
2001-11-03,27.1,0.72
2001-11-04,26.57,1.32
2001-11-05,26.14,5.48
2001-11-06,25.82,11.44
2001-11-07,25.21,6.84
2001-11-08,26.02,13.82
2001-11-09,25.71,8.03
2001-11-10,25.58,9.73
2001-11-11,25.62,1.21
2001-11-12,26.28,1.41
2001-11-13,26.19,1.11
2001-11-14,25.71,12.2
2001-11-15,24.95,16.42
2001-11-16,24.27,19.4
2001-11-17,24.74,4.51
2001-11-18,24.8,4.41
2001-11-19,25.2,0.73
2001-11-20,25.71,1.11
2001-11-21,25.49,15.06
2001-11-22,25.0,30.94
2001-11-23,24.47,5.96
2001-11-24,24.5,0.1
2001-11-25,24.38,0.18
2001-11-26,24.42,0.28
2001-11-27,24.51,0.09
2001-11-28,24.74,0.08
2001-11-29,24.8,0.05
2001-11-30,24.16,0.0
2001-12-01,24.64,1.58
2001-12-02,25.52,1.63
2001-12-03,24.39,18.09
2001-12-04,24.57,8.4
2001-12-05,24.81,0.9
2001-12-06,24.29,1.43
2001-12-07,24.22,0.03
2001-12-08,23.82,0.0
2001-12-09,24.04,0.14
2001-12-10,23.75,0.04
2001-12-11,23.8,0.0
2001-12-12,23.66,0.0
2001-12-13,23.75,0.0
2001-12-14,24.11,0.0
2001-12-15,23.93,0.03
2001-12-16,24.27,0.15
2001-12-17,25.78,4.12
2001-12-18,25.8,11.24
2001-12-19,25.06,20.0
2001-12-20,25.16,26.35
2001-12-21,24.66,6.21
2001-12-22,24.29,2.51
2001-12-23,24.17,8.58
2001-12-24,23.8,9.37
2001-12-25,23.75,4.52
2001-12-26,24.61,1.63
2001-12-27,24.83,0.94
2001-12-28,24.83,1.54
2001-12-29,25.05,2.99
2001-12-30,24.37,14.42
2001-12-31,24.16,3.9
2002-01-01,24.52,4.75
2002-01-02,24.79,2.08
2002-01-03,24.65,4.1
2002-01-04,24.89,15.51
2002-01-05,24.65,6.74
2002-01-06,24.88,1.29
2002-01-07,25.01,0.03
2002-01-08,25.04,0.0
2002-01-09,25.3,0.0
2002-01-10,25.33,0.54
2002-01-11,25.0,3.73
2002-01-12,23.79,0.36
2002-01-13,22.57,0.0
2002-01-14,22.22,0.0
2002-01-15,21.95,0.0
2002-01-16,22.03,0.0
2002-01-17,22.41,0.0
2002-01-18,23.65,0.03
2002-01-19,24.98,0.1
2002-01-20,25.89,0.81
2002-01-21,25.8,1.81
2002-01-22,25.63,0.05
2002-01-23,25.88,0.15
2002-01-24,25.34,0.18
2002-01-25,25.45,0.0
2002-01-26,25.19,0.0
2002-01-27,23.82,0.0
2002-01-28,24.19,0.0
2002-01-29,25.11,0.0
2002-01-30,25.76,1.37
2002-01-31,25.64,10.85
2002-02-01,25.02,14.48
2002-02-02,26.18,1.52
2002-02-03,26.13,5.18
2002-02-04,25.78,9.36
2002-02-05,25.86,2.7
2002-02-06,24.73,0.02
2002-02-07,23.99,0.0
2002-02-08,23.38,0.0
2002-02-09,24.34,3.64
2002-02-10,25.08,35.09
2002-02-11,25.34,2.19
2002-02-12,25.35,0.54
2002-02-13,25.18,0.0
2002-02-14,25.57,0.16
2002-02-15,25.43,0.04
2002-02-16,25.29,0.0
2002-02-17,25.24,0.0
2002-02-18,25.55,0.09
2002-02-19,25.88,0.04
2002-02-20,25.95,0.0
2002-02-21,25.69,0.0
2002-02-22,25.91,0.0
2002-02-23,25.75,0.0
2002-02-24,25.28,0.0
2002-02-25,26.04,0.01
2002-02-26,26.77,0.09
2002-02-27,27.04,0.08
2002-02-28,27.26,0.01
2002-03-01,27.39,0.2
2002-03-02,26.75,0.0
2002-03-03,26.46,0.0
2002-03-04,25.98,0.0
2002-03-05,26.75,0.0
2002-03-06,27.3,1.28
2002-03-07,27.88,10.81
2002-03-08,27.0,2.43
2002-03-09,26.56,0.0
2002-03-10,27.26,0.0
2002-03-11,27.14,0.0
2002-03-12,27.29,0.0
2002-03-13,27.63,0.0
2002-03-14,27.63,4.91
2002-03-15,28.09,1.27
2002-03-16,28.17,0.01
2002-03-17,27.55,0.0
2002-03-18,27.76,0.09
2002-03-19,28.14,0.0
2002-03-20,28.2,0.0
2002-03-21,27.36,3.5
2002-03-22,29.06,0.08
2002-03-23,29.28,0.0
2002-03-24,29.91,0.0
2002-03-25,30.41,0.0
2002-03-26,30.26,0.35
2002-03-27,29.23,1.11
2002-03-28,26.06,3.16
2002-03-29,28.43,1.61
2002-03-30,28.6,10.64
2002-03-31,29.08,6.12
2002-04-01,29.05,11.58
2002-04-02,28.54,3.07
2002-04-03,29.62,1.6
2002-04-04,28.05,4.39
2002-04-05,28.95,1.91
2002-04-06,29.46,0.2
2002-04-07,29.81,0.42
2002-04-08,28.88,5.37
2002-04-09,28.36,3.07
2002-04-10,29.69,1.11
2002-04-11,30.03,6.2
2002-04-12,27.87,12.58
2002-04-13,27.81,6.94
2002-04-14,27.6,7.16
2002-04-15,28.99,0.1
2002-04-16,28.41,1.06
2002-04-17,29.15,1.26
2002-04-18,28.94,2.99
2002-04-19,27.89,11.73
2002-04-20,28.72,1.74
2002-04-21,26.65,10.97
2002-04-22,26.27,3.28
2002-04-23,28.45,2.54
2002-04-24,29.07,3.72
2002-04-25,27.81,9.78
2002-04-26,26.72,10.98
2002-04-27,27.59,4.12
2002-04-28,28.25,0.02
2002-04-29,28.61,0.01
2002-04-30,28.4,0.05
2002-05-01,28.77,7.0
2002-05-02,26.81,11.22
2002-05-03,27.3,14.23
2002-05-04,26.5,8.33
2002-05-05,27.15,2.17
2002-05-06,27.23,1.16
2002-05-07,27.4,0.08
2002-05-08,28.12,0.03
2002-05-09,28.04,2.22
2002-05-10,28.43,1.39
2002-05-11,28.59,0.01
2002-05-12,28.94,0.44
2002-05-13,28.21,1.18
2002-05-14,28.0,0.25
2002-05-15,28.03,0.0
2002-05-16,28.57,0.39
2002-05-17,28.26,1.74
2002-05-18,27.4,3.09
2002-05-19,27.43,0.38
2002-05-20,28.18,0.38
2002-05-21,27.48,0.27
2002-05-22,27.33,0.03
2002-05-23,27.87,0.04
2002-05-24,27.36,0.0
2002-05-25,27.84,0.12
2002-05-26,27.96,0.42
2002-05-27,27.99,0.12
2002-05-28,27.87,11.88
2002-05-29,27.05,7.2
2002-05-30,27.71,0.79
2002-05-31,26.99,1.66
2002-06-01,26.53,5.79
2002-06-02,26.82,1.78
2002-06-03,26.94,0.05
2002-06-04,27.56,0.32
2002-06-05,28.21,0.25
2002-06-06,27.68,0.0
2002-06-07,27.51,0.6
2002-06-08,27.68,0.75
2002-06-09,28.14,1.12
2002-06-10,27.04,1.16
2002-06-11,26.34,6.36
2002-06-12,26.57,4.1
2002-06-13,26.95,0.72
2002-06-14,27.29,0.92
2002-06-15,26.57,0.64
2002-06-16,27.7,0.0
2002-06-17,26.63,0.0
2002-06-18,26.93,9.33
2002-06-19,26.92,4.62
2002-06-20,27.13,0.0
2002-06-21,27.22,0.01
2002-06-22,27.07,0.01
2002-06-23,27.76,0.73
2002-06-24,27.66,0.87
2002-06-25,27.93,0.0
2002-06-26,28.49,0.0
2002-06-27,28.64,0.0
2002-06-28,28.65,0.0
2002-06-29,28.6,0.0
2002-06-30,28.05,0.0
2002-07-01,28.19,0.21
2002-07-02,28.31,0.14
2002-07-03,28.43,0.0
2002-07-04,28.61,0.0
2002-07-05,28.71,0.0
2002-07-06,28.45,0.09
2002-07-07,28.12,0.08
2002-07-08,28.18,0.0
2002-07-09,28.55,0.0
2002-07-10,28.47,0.0
2002-07-11,28.23,0.26
2002-07-12,28.2,0.5
2002-07-13,28.1,0.0
2002-07-14,27.93,0.03
2002-07-15,28.0,0.93
2002-07-16,27.68,0.65
2002-07-17,27.1,0.05
2002-07-18,26.97,0.06
2002-07-19,27.73,0.0
